Epoch,Loss,IOU_Train,IOU_Val,Time
337,0.125044,0.7222,0.4457,40.96
338,0.124743,0.7226,0.4949,40.96
339,0.124931,0.7227,0.4774,40.93
340,0.125052,0.7226,0.5032,40.96
341,0.124974,0.7224,0.5260,40.94
342,0.124857,0.7226,0.5499,40.97
343,0.124891,0.7228,0.4340,40.95
344,0.124909,0.7227,0.4120,40.96
345,0.125159,0.7225,0.5194,40.95
346,0.124722,0.7227,0.4640,40.96
347,0.124849,0.7227,0.4543,40.95
348,0.124530,0.7230,0.5368,40.96
349,0.124717,0.7227,0.4926,40.94
350,0.124668,0.7232,0.5455,40.95
351,0.124547,0.7229,0.5503,40.95
352,0.123726,0.7242,0.5257,40.96
353,0.124503,0.7232,0.5462,40.92
354,0.124375,0.7232,0.5499,40.91
355,0.124229,0.7235,0.5442,40.92
356,0.123903,0.7241,0.5167,40.96
357,0.124005,0.7236,0.5406,40.95
358,0.124040,0.7240,0.4660,40.95
359,0.124048,0.7239,0.4042,40.93
360,0.123839,0.7237,0.5446,40.98
361,0.124148,0.7236,0.5476,40.94
362,0.124304,0.7234,0.5136,40.96
363,0.124050,0.7237,0.4663,40.97
364,0.123613,0.7242,0.5245,40.98
365,0.123565,0.7247,0.5585,40.97
366,0.124074,0.7239,0.4899,40.95
367,0.123724,0.7245,0.5210,40.94
368,0.123991,0.7239,0.4735,40.95
369,0.123585,0.7243,0.5218,40.96
370,0.123597,0.7242,0.4519,40.97
371,0.123757,0.7246,0.5320,40.96
372,0.123356,0.7244,0.5296,40.96
373,0.123398,0.7246,0.4642,41.07
374,0.123675,0.7247,0.5389,40.94
375,0.123843,0.7243,0.5427,40.94
376,0.123409,0.7246,0.5009,40.94
377,0.123164,0.7250,0.4450,40.95
378,0.123118,0.7248,0.5543,41.10
379,0.123393,0.7244,0.5493,40.97
380,0.123530,0.7253,0.4923,41.03
381,0.123250,0.7251,0.5231,40.93
382,0.123014,0.7255,0.5081,40.96
383,0.123188,0.7249,0.5401,41.08
384,0.123206,0.7251,0.5353,41.27
385,0.123247,0.7248,0.5117,41.23
386,0.123137,0.7253,0.3865,41.08
387,0.122660,0.7255,0.4253,40.97
388,0.122704,0.7255,0.5464,41.12
389,0.122934,0.7254,0.5572,41.73
390,0.122913,0.7252,0.5316,41.41
391,0.122977,0.7252,0.4894,40.92
392,0.122794,0.7253,0.4673,41.10
393,0.122799,0.7257,0.4054,42.41
394,0.122873,0.7253,0.5243,42.30
395,0.122784,0.7256,0.5389,42.48
396,0.122557,0.7259,0.5430,42.13
397,0.122577,0.7259,0.5238,42.40
398,0.122944,0.7254,0.4215,41.97
399,0.122201,0.7265,0.4935,41.37
400,0.122512,0.7260,0.4965,41.05
401,0.122774,0.7257,0.5086,41.72
402,0.122254,0.7263,0.5158,41.04
403,0.122313,0.7261,0.3130,42.24
404,0.122470,0.7257,0.4184,42.04
405,0.122418,0.7261,0.5211,41.20
406,0.122154,0.7264,0.5110,40.81
407,0.122155,0.7265,0.5372,40.84
408,0.122119,0.7266,0.5527,41.48
409,0.122178,0.7265,0.5230,41.37
410,0.122310,0.7264,0.5513,42.17
411,0.122455,0.7261,0.5016,40.89
412,0.122020,0.7269,0.4413,40.89
413,0.122154,0.7267,0.5343,40.85
414,0.121739,0.7268,0.4801,40.83
415,0.122168,0.7267,0.5270,40.82
416,0.121954,0.7264,0.5305,40.88
417,0.121967,0.7272,0.5417,41.04
418,0.122145,0.7264,0.5063,40.95
419,0.121854,0.7269,0.5599,40.87
420,0.121658,0.7273,0.4928,40.87
421,0.121947,0.7270,0.4852,40.87
422,0.121623,0.7270,0.5177,40.90
423,0.121707,0.7271,0.5483,40.90
424,0.121715,0.7271,0.4609,40.93
425,0.121382,0.7274,0.5391,40.87
426,0.121649,0.7272,0.5455,40.89
427,0.121684,0.7274,0.5086,40.92
428,0.121742,0.7271,0.5111,40.89
429,0.121771,0.7270,0.3484,40.86
430,0.121569,0.7271,0.4614,41.13
431,0.121374,0.7277,0.5236,41.54
432,0.122120,0.7267,0.4308,42.95
433,0.121212,0.7279,0.5547,41.62
434,0.121466,0.7273,0.4566,41.91
435,0.121057,0.7280,0.4846,42.37
436,0.121086,0.7280,0.4964,42.92
437,0.121856,0.7269,0.4781,42.33
438,0.121143,0.7280,0.5479,41.60
439,0.121380,0.7274,0.4574,40.85
440,0.121131,0.7277,0.5428,40.85
441,0.121049,0.7281,0.4701,40.85
442,0.121546,0.7273,0.5144,40.86
443,0.120896,0.7281,0.5116,40.96
444,0.121258,0.7278,0.4018,41.05
445,0.121287,0.7277,0.4848,40.89
446,0.120897,0.7284,0.5392,41.11
447,0.121109,0.7279,0.5613,41.21
448,0.120670,0.7285,0.5241,41.93
449,0.120751,0.7280,0.5051,40.87
450,0.121352,0.7278,0.5411,41.09
451,0.120989,0.7280,0.5303,40.85
452,0.121208,0.7280,0.4933,40.88
453,0.120910,0.7281,0.5467,40.86
454,0.120986,0.7283,0.4484,40.92
455,0.120651,0.7283,0.5028,40.87
456,0.120778,0.7286,0.5486,40.97
457,0.120748,0.7286,0.5089,40.94
458,0.120681,0.7284,0.5526,41.44
459,0.120648,0.7286,0.4540,41.37
460,0.120393,0.7288,0.4151,40.93
461,0.120689,0.7283,0.4844,41.10
462,0.120634,0.7289,0.4709,43.29
463,0.120586,0.7286,0.5563,41.90
464,0.120447,0.7287,0.5358,40.86
465,0.120305,0.7294,0.5162,44.26
466,0.120408,0.7293,0.5439,42.46
467,0.120662,0.7288,0.5068,42.34
468,0.120669,0.7288,0.5336,41.56
469,0.120413,0.7288,0.4652,41.51
470,0.120257,0.7292,0.5234,43.74
471,0.120292,0.7290,0.4326,42.90
472,0.120128,0.7295,0.5436,41.30
473,0.120384,0.7292,0.5562,43.43
474,0.120111,0.7293,0.5466,42.31
475,0.120268,0.7294,0.5622,43.73
476,0.120188,0.7293,0.5631,42.45
477,0.120207,0.7292,0.5011,42.37
478,0.120294,0.7290,0.5048,41.67
479,0.120021,0.7300,0.4488,41.27
480,0.120348,0.7292,0.4561,41.27
481,0.119777,0.7296,0.5166,41.35
482,0.120518,0.7291,0.5179,41.08
483,0.119876,0.7297,0.5391,42.27
484,0.119923,0.7296,0.5573,41.28
485,0.120116,0.7298,0.4810,41.12
486,0.119954,0.7296,0.5389,41.12
487,0.120007,0.7294,0.5280,41.37
488,0.119749,0.7298,0.5401,42.27
489,0.119528,0.7303,0.4789,41.48
490,0.119478,0.7303,0.5004,41.32
491,0.119721,0.7300,0.5397,41.14
492,0.120112,0.7293,0.5518,41.14
493,0.119794,0.7299,0.5270,41.24
494,0.119595,0.7300,0.3071,42.06
495,0.119489,0.7301,0.5013,41.09
496,0.119609,0.7302,0.5576,41.24
497,0.119645,0.7302,0.5042,42.55
498,0.119838,0.7296,0.5417,42.14
499,0.119461,0.7304,0.5125,42.14
500,0.119538,0.7301,0.5214,41.03
501,0.119410,0.7305,0.5256,42.55
502,0.119588,0.7302,0.5184,42.48
